,CVE_DOC,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO
0,F37034,434.48,52.8,52.8,434.48,52.8,381.68
1,F37036,1264.05,327.18,327.18,1264.05,327.18,936.87
2,F37041,551.61,177.68,177.68,3861.29,1243.73,373.94
3,F37042,140.0,38.96,38.96,140.0,38.96,101.04
4,F37043,172.41,101.71,101.71,344.83,203.42,70.71
5,F37043,237.07,49.41,49.41,474.14,98.82,187.66
6,F37044,942.7,108.0,219.9,2576.7,625.1,684.8
7,F37046,94.5,38.96,38.96,283.5,116.88,55.54
8,F37048,1615.0,517.89,517.89,1615.0,517.89,1097.11
9,F37049,1615.0,517.89,517.89,1615.0,517.89,1097.11
10,F37050,1615.0,517.89,517.89,1615.0,517.89,1097.11
11,F37051,1615.0,0.0,586.32,1615.0,586.32,1028.68
12,F37052,1615.0,0.0,586.32,1615.0,586.32,1028.68
13,F37053,1485.25,0.0,86.22,1485.25,86.22,1399.03
14,F37054,2095.25,0.0,742.05,2095.25,742.05,1353.2
15,F37058,192.5,51.73,149.6,481.25,397.08,42.9
16,F37059,771.28,124.0,124.0,1542.56,248.0,647.28
17,F37060,125.0,0.0,141.9,375.0,425.69,-16.9
18,F37061,821.3,0.0,78.7,4106.5,393.48,742.6
19,F37061,821.3,0.0,75.77,5749.1,530.41,745.53
20,F37061,496.35,27.43,27.43,1489.05,82.29,468.92
21,F37067,938.53,147.76,147.76,2815.59,443.27,790.77
22,F37068,718.52,259.35,259.35,718.52,259.35,459.17
23,F37068,898.25,332.65,332.65,898.25,332.65,565.6
24,F37069,1500.0,0.36,0.36,3000.0,0.72,1499.64
25,F37071,1848.0,108.0,219.9,5544.0,625.1,766.11
26,F37073,485.0,124.0,124.0,2425.0,620.0,361.0
27,F37073,375.0,44.14,44.14,2250.0,264.83,330.86
28,F37077,2005.46,489.39,489.39,4010.92,978.77,1516.07
29,F37078,1299.32,305.44,305.44,2576.7,625.1,993.88
30,F37083,856.04,295.24,295.24,5136.22,1771.42,560.8
31,F37086,1299.32,305.44,305.44,2576.7,625.1,993.88
32,F37087,601.23,178.6,178.6,601.23,178.6,422.63
33,F37092,150.5,68.95,68.95,1505.0,689.45,81.56
34,F37092,215.96,78.32,78.32,2159.6,783.24,137.64
35,F37095,382.1,5.76,5.76,382.1,5.76,376.34
36,F37095,485.23,45.01,45.01,485.23,45.01,440.22
37,F37097,945.0,289.05,289.05,945.0,289.05,655.95
38,F37098,259.6,64.85,64.85,10384.0,2594.17,194.75
39,F37100,938.53,0.0,161.73,938.53,161.73,776.8
40,F37102,942.7,0.0,219.9,2576.7,625.1,684.8
41,F37103,619.21,101.71,101.71,5572.89,915.42,517.5
42,F37105,505.08,0.0,81.91,5050.8,819.14,423.17
43,F37107,1328.0,0.0,497.54,10624.0,625.1,830.46
44,F37110,599.05,0.0,98.76,1198.1,197.51,500.3
45,F37114,803.0,140.29,140.29,803.0,140.29,662.71
46,F37117,785.25,181.88,181.88,1570.5,363.75,603.38
47,F37117,615.85,249.89,249.89,1231.7,499.77,365.96
48,F37117,385.2,48.56,48.56,1540.8,194.24,336.64
49,F37120,2150.0,0.0,195.26,2150.0,195.26,1954.74
50,F37125,531.0,85.29,85.29,2655.0,426.47,445.71
51,F37126,385.0,220.0,220.0,385.0,220.0,165.0
52,F37128,500.0,211.36,211.36,500.0,211.36,288.64
53,F37129,835.5,242.48,242.48,1671.0,484.95,593.02
54,F37129,895.5,235.56,235.56,1791.0,471.13,659.94
55,F37130,1264.25,0.0,319.8,1264.25,319.8,944.45
56,F37130,1264.25,0.0,313.8,1264.25,313.8,950.45
57,F37134,605.0,44.7,44.7,2420.0,178.8,560.3
58,F37138,337.7,4.02,4.02,337.7,4.02,333.68
59,F37141,558.14,69.23,69.23,1116.28,138.46,488.91
60,F37142,558.14,69.23,69.23,1116.28,138.46,488.91
61,F37143,1412.0,556.14,556.14,4236.0,1668.42,855.86
62,F37143,1188.0,447.68,447.68,3564.0,1343.05,740.32
63,F37143,663.0,95.82,95.82,3978.0,574.91,567.18
64,F37143,495.8,158.4,158.4,991.6,316.8,337.4
65,F37147,2177.5,272.65,272.65,2576.7,2181.22,1904.85
66,F37150,505.23,161.63,161.63,1010.46,323.25,343.6
67,F37150,985.1,105.68,105.68,3940.4,422.72,879.42
68,F37152,2644.28,0.0,795.74,10577.12,625.1,1848.54
69,F37153,522.0,51.38,51.38,1044.0,102.76,470.62
70,F37156,255.01,291.72,291.72,255.01,291.72,-36.71
71,F37161,551.25,0.0,240.87,5512.5,2408.67,310.38
72,F37167,364.55,52.48,52.48,364.55,52.48,312.07
73,F37167,662.0,139.82,139.82,662.0,139.82,522.18
74,F37169,1475.3,275.5,275.5,2576.7,625.1,1199.8
75,F37171,999.91,200.3,200.3,2999.72,600.9,799.61
76,F37174,1450.0,372.67,372.67,2576.7,625.1,1077.33
77,F37175,1450.0,360.5,360.5,8700.0,2162.98,1089.5
78,F37175,1450.0,337.97,337.97,8700.0,2027.79,1112.03
79,F37178,415.0,113.47,113.47,3320.0,907.73,301.53
80,F37180,272.0,77.13,77.13,2720.0,771.29,194.87
81,F37184,1025.87,0.0,115.58,2051.74,231.15,910.29
82,F37184,1587.25,0.0,165.19,3174.5,330.39,1422.06
83,F37184,942.7,0.0,385.71,5970.72,771.42,684.8
84,F37185,566.64,85.89,85.89,566.64,85.89,480.75
85,F37187,431.5,95.96,95.96,5178.0,1151.56,335.54
86,F37187,528.3,131.65,131.65,6339.6,1579.75,396.65
87,F37191,1880.28,0.0,292.75,1880.28,292.75,1587.53
88,F37192,150.0,71.25,71.25,3000.0,1425.02,78.75
89,F37193,98.0,38.96,38.96,98.0,38.96,59.04
90,F37198,830.25,363.33,363.33,2490.75,1090.0,466.92
91,F37202,473.28,27.08,27.08,473.28,27.08,446.2
92,F37204,1659.6,436.54,436.54,1659.6,436.54,1223.06
